painting_id,image_name,image_path,status,reason,best_positive_prompt,best_positive_score,best_negative_prompt,best_negative_score,margin,window_visible,window_position,light_direction,composition_type,outside_visibility,notes
132,132.jpg,D:\00\raw_paintings\132.jpg,removed_theme_mismatch,not_matching_theme_enough,a painting of an indoor scene with strong window light,0.00517485523596406,a painting of only outdoor scenery,0.7463662624359131,-0.741191407199949,,,,,,
132821,132821.jpg,D:\00\raw_paintings\132821.jpg,removed_theme_mismatch,not_matching_theme_enough,a painting of an interior space with a visible window and outside view,0.052053213119506836,a painting of only outdoor scenery,0.7874742746353149,-0.7354210615158081,,,,,,
133,133.jpg,D:\00\raw_paintings\133.jpg,selected_final,fits_interior_window_theme,a painting of an indoor scene with strong window light,0.278624027967453,a portrait painting with no relation to a window,0.11773092299699783,0.16089310497045517,,,,,,
134,134.jpg,D:\00\raw_paintings\134.jpg,selected_final,fits_interior_window_theme,a painting of an indoor scene with strong window light,0.38593119382858276,a portrait painting with no relation to a window,0.07799232751131058,0.3079388663172722,,,,,,
135,135.jpg,D:\00\raw_paintings\135.jpg,removed_theme_mismatch,not_matching_theme_enough,a painting of an indoor scene with strong window light,7.46187743061455e-06,a blurry low quality image,0.9304245114326477,-0.9304170495552171,,,,,,
135830,135830.jpg,D:\00\raw_paintings\135830.jpg,removed_theme_mismatch,not_matching_theme_enough,a painting of an interior space with a visible window and outside view,0.06610233336687088,a portrait painting with no relation to a window,0.6478316783905029,-0.581729345023632,,,,,,
136,136.jpg,D:\00\raw_paintings\136.jpg,selected_final,fits_interior_window_theme,a painting of a quiet room with a window,0.5801318287849426,a painting of an outdoor landscape,0.07528524100780487,0.5048465877771378,,,,,,
136478,136478.jpg,D:\00\raw_paintings\136478.jpg,selected_final,fits_interior_window_theme,a painting of an interior space with a visible window and outside view,0.5272125005722046,a painting without a window,0.03283659368753433,0.49437590688467026,,,,,,
136507,136507.jpg,D:\00\raw_paintings\136507.jpg,removed_theme_mismatch,not_matching_theme_enough,a painting of an indoor scene with strong window light,0.07570050656795502,a painting without a window,0.7927661538124084,-0.7170656472444534,,,,,,
137,137.jpg,D:\00\raw_paintings\137.jpg,selected_final,fits_interior_window_theme,a painting of an interior room with a window,0.32691386342048645,a painting without a window,0.11623038351535797,0.21068347990512848,,,,,,
137485,137485.jpg,D:\00\raw_paintings\137485.jpg,removed_theme_mismatch,not_matching_theme_enough,a painting of an interior space with a visible window and outside view,0.039815597236156464,a painting of only outdoor scenery,0.6819140315055847,-0.6420984342694283,,,,,,
137539,137539.jpg,D:\00\raw_paintings\137539.jpg,removed_theme_mismatch,not_matching_theme_enough,a painting of an interior room with a window,0.017735246568918228,a painting of only outdoor scenery,0.7023787498474121,-0.6846435032784939,,,,,,
137598,137598.jpg,D:\00\raw_paintings\137598.jpg,selected_final,fits_interior_window_theme,a painting of an interior room with a window,0.5084031820297241,a painting of only outdoor scenery,0.10232245922088623,0.4060807228088379,,,,,,
137701,137701.jpg,D:\00\raw_paintings\137701.jpg,selected_final,fits_interior_window_theme,a painting of an interior room with a window,0.5451778173446655,a painting of only outdoor scenery,0.025591805577278137,0.5195860117673874,,,,,,
137730,137730.jpg,D:\00\raw_paintings\137730.jpg,selected_final,fits_interior_window_theme,a painting of an interior space with a visible window and outside view,0.4400404393672943,a portrait painting with no relation to a window,0.0060424599796533585,0.43399797938764095,,,,,,
137763,137763.jpg,D:\00\raw_paintings\137763.jpg,removed_theme_mismatch,not_matching_theme_enough,a painting of an indoor scene with strong window light,0.20800086855888367,a painting of only outdoor scenery,0.4752821922302246,-0.26728132367134094,,,,,,
137823,137823.jpg,D:\00\raw_paintings\137823.jpg,selected_final,fits_interior_window_theme,a painting of an interior room with a window,0.5133765339851379,a painting without a window,0.0436132438480854,0.46976329013705254,,,,,,
138,138.jpg,D:\00\raw_paintings\138.jpg,selected_final,fits_interior_window_theme,a painting of an indoor scene with strong window light,0.5442424416542053,a portrait painting with no relation to a window,0.12961283326148987,0.41462960839271545,,,,,,
138542,138542.jpg,D:\00\raw_paintings\138542.jpg,removed_theme_mismatch,not_matching_theme_enough,a painting of an interior space with a visible window and outside view,0.0008674713899381459,a painting of only outdoor scenery,0.8107246160507202,-0.8098571446607821,,,,,,
139,139.jpg,D:\00\raw_paintings\139.jpg,selected_final,fits_interior_window_theme,a painting of a person inside looking out through a window,0.9538152813911438,a portrait painting with no relation to a window,0.019171826541423798,0.93464345484972,,,,,,
14,14.jpg,D:\00\raw_paintings\14.jpg,removed_theme_mismatch,not_matching_theme_enough,a painting of an interior space with a visible window and outside view,0.0386260487139225,an abstract painting,0.5215421915054321,-0.48291614279150963,,,,,,
140,140.jpg,D:\00\raw_paintings\140.jpg,removed_theme_mismatch,not_matching_theme_enough,a painting of a person inside looking out through a window,0.027043966576457024,an abstract painting,0.9466519951820374,-0.9196080286055803,,,,,,
140161,140161.jpg,D:\00\raw_paintings\140161.jpg,removed_theme_mismatch,not_matching_theme_enough,a painting of an indoor scene with strong window light,0.31013038754463196,a painting without a window,0.3854191303253174,-0.07528874278068542,,,,,,
140384,140384.jpg,D:\00\raw_paintings\140384.jpg,removed_theme_mismatch,not_matching_theme_enough,a painting of a quiet room with a window,0.015830177813768387,a blurry low quality image,0.8696810603141785,-0.8538508825004101,,,,,,
141,141.jpg,D:\00\raw_paintings\141.jpg,removed_theme_mismatch,not_matching_theme_enough,a painting of an indoor scene with strong window light,0.0010946623515337706,an abstract painting,0.9949005246162415,-0.9938058622647077,,,,,,
141484,141484.jpg,D:\00\raw_paintings\141484.jpg,removed_theme_mismatch,not_matching_theme_enough,a painting of an indoor scene with strong window light,0.007390550337731838,a painting without a window,0.5635188817977905,-0.5561283314600587,,,,,,
142,142.jpg,D:\00\raw_paintings\142.jpg,selected_final,fits_interior_window_theme,a painting of an interior room with a window,0.42985865473747253,a portrait painting with no relation to a window,0.010201486758887768,0.41965716797858477,,,,,,
142356,142356.jpg,D:\00\raw_paintings\142356.jpg,removed_theme_mismatch,not_matching_theme_enough,a painting of an interior space with a visible window and outside view,0.00016656606749165803,a painting of an outdoor landscape,0.8083189725875854,-0.8081524065200938,,,,,,
142716,142716.jpg,D:\00\raw_paintings\142716.jpg,selected_final,fits_interior_window_theme,a painting of an indoor scene with strong window light,0.37700697779655457,a painting of only outdoor scenery,0.022087419405579567,0.354919558390975,,,,,,
143,143.jpg,D:\00\raw_paintings\143.jpg,removed_theme_mismatch,not_matching_theme_enough,a painting of an indoor scene with strong window light,0.0025759919080883265,an abstract painting,0.9949228167533875,-0.9923468248452991,,,,,,
144,144.jpg,D:\00\raw_paintings\144.jpg,removed_theme_mismatch,not_matching_theme_enough,a painting of a person inside looking out through a window,0.18149502575397491,a portrait painting with no relation to a window,0.35540422797203064,-0.17390920221805573,,,,,,
144693,144693.jpg,D:\00\raw_paintings\144693.jpg,selected_final,fits_interior_window_theme,a painting of an indoor scene with strong window light,0.6388482451438904,a painting of only outdoor scenery,0.10377340763807297,0.5350748375058174,,,,,,
145,145.jpg,D:\00\raw_paintings\145.jpg,removed_theme_mismatch,not_matching_theme_enough,a painting of an indoor scene with strong window light,0.26535674929618835,a portrait painting with no relation to a window,0.3802836835384369,-0.11492693424224854,,,,,,
145123,145123.jpg,D:\00\raw_paintings\145123.jpg,removed_theme_mismatch,not_matching_theme_enough,a painting of an interior space with a visible window and outside view,0.00011127424659207463,a painting of only outdoor scenery,0.6501659750938416,-0.6500547008472495,,,,,,
145288,145288.jpg,D:\00\raw_paintings\145288.jpg,selected_final,fits_interior_window_theme,a painting of an interior room with a window,0.660675048828125,a painting without a window,0.0012730453163385391,0.6594020035117865,,,,,,
145426,145426.jpg,D:\00\raw_paintings\145426.jpg,removed_theme_mismatch,not_matching_theme_enough,a painting of an interior space with a visible window and outside view,0.0021530408412218094,a painting of only outdoor scenery,0.6309584975242615,-0.6288054566830397,,,,,,
146,146.jpg,D:\00\raw_paintings\146.jpg,selected_final,fits_interior_window_theme,a painting of an interior space with a visible window and outside view,0.2514514923095703,a portrait painting with no relation to a window,0.005973814986646175,0.24547767732292414,,,,,,
146211,146211.jpg,D:\00\raw_paintings\146211.jpg,removed_theme_mismatch,not_matching_theme_enough,a painting of an indoor scene with strong window light,0.0418405681848526,a painting of only outdoor scenery,0.673650324344635,-0.6318097561597824,,,,,,
146212,146212.jpg,D:\00\raw_paintings\146212.jpg,removed_theme_mismatch,not_matching_theme_enough,a painting of an interior space with a visible window and outside view,0.0506008081138134,a painting of only outdoor scenery,0.4460315406322479,-0.3954307325184345,,,,,,
146213,146213.jpg,D:\00\raw_paintings\146213.jpg,removed_theme_mismatch,not_matching_theme_enough,a painting of an indoor scene with strong window light,0.0340593159198761,a painting without a window,0.4230271875858307,-0.3889678716659546,,,,,,
147,147.jpg,D:\00\raw_paintings\147.jpg,removed_theme_mismatch,not_matching_theme_enough,a painting of an indoor scene with strong window light,0.09826979786157608,an abstract painting,0.44436612725257874,-0.34609632939100266,,,,,,
147849,147849.jpg,D:\00\raw_paintings\147849.jpg,selected_final,fits_interior_window_theme,a painting of an interior space with a visible window and outside view,0.5035418272018433,a painting of only outdoor scenery,0.3046223521232605,0.19891947507858276,,,,,,
147850,147850.jpg,D:\00\raw_paintings\147850.jpg,removed_theme_mismatch,not_matching_theme_enough,a painting of an interior space with a visible window and outside view,0.12537041306495667,a painting of only outdoor scenery,0.5885833501815796,-0.4632129371166229,,,,,,
147904,147904.jpg,D:\00\raw_paintings\147904.jpg,selected_final,fits_interior_window_theme,a painting of a person inside looking out through a window,0.8540390133857727,a portrait painting with no relation to a window,0.06556226313114166,0.788476750254631,,,,,,
148,148.jpg,D:\00\raw_paintings\148.jpg,removed_theme_mismatch,not_matching_theme_enough,a painting of a person inside looking out through a window,0.12855814397335052,a portrait painting with no relation to a window,0.8168976306915283,-0.6883394867181778,,,,,,
148233,148233.jpg,D:\00\raw_paintings\148233.jpg,removed_theme_mismatch,not_matching_theme_enough,a painting of an interior room with a window,0.008324269205331802,a painting of only outdoor scenery,0.7020595669746399,-0.6937352977693081,,,,,,
148242,148242.jpg,D:\00\raw_paintings\148242.jpg,removed_theme_mismatch,not_matching_theme_enough,a painting of an interior space with a visible window and outside view,0.019106924533843994,a painting of only outdoor scenery,0.9114383459091187,-0.8923314213752747,,,,,,
148340,148340.jpg,D:\00\raw_paintings\148340.jpg,removed_theme_mismatch,not_matching_theme_enough,a painting of an indoor scene with strong window light,0.021148836240172386,an abstract painting,0.7930322885513306,-0.7718834523111582,,,,,,
148341,148341.jpg,D:\00\raw_paintings\148341.jpg,removed_theme_mismatch,not_matching_theme_enough,a painting of an interior room with a window,0.10468026995658875,an abstract painting,0.20635731518268585,-0.1016770452260971,,,,,,
149,149.jpg,D:\00\raw_paintings\149.jpg,selected_final,fits_interior_window_theme,a painting of a person inside looking out through a window,0.7229876518249512,a portrait painting with no relation to a window,0.1199551522731781,0.6030324995517731,,,,,,
149031,149031.jpg,D:\00\raw_paintings\149031.jpg,removed_theme_mismatch,not_matching_theme_enough,a painting of a quiet room with a window,0.0008839808288030326,a painting of an outdoor landscape,0.5115793943405151,-0.5106954135117121,,,,,,
149169,149169.jpg,D:\00\raw_paintings\149169.jpg,selected_final,fits_interior_window_theme,a painting of an interior room with a window,0.30164098739624023,a painting without a window,0.21341095864772797,0.08823002874851227,,,,,,
149396,149396.jpg,D:\00\raw_paintings\149396.jpg,selected_final,fits_interior_window_theme,a painting of a domestic interior with sunlight entering through a window,0.46292591094970703,a painting without a window,0.003212063340470195,0.45971384760923684,,,,,,
149417,149417.jpg,D:\00\raw_paintings\149417.jpg,removed_theme_mismatch,not_matching_theme_enough,a painting of an interior space with a visible window and outside view,0.0008670834940858185,a painting of only outdoor scenery,0.7599359154701233,-0.7590688319760375,,,,,,
149769,149769.jpg,D:\00\raw_paintings\149769.jpg,removed_theme_mismatch,not_matching_theme_enough,a painting of a person inside looking out through a window,0.008242637850344181,a portrait painting with no relation to a window,0.964611828327179,-0.9563691904768348,,,,,,
149782,149782.jpg,D:\00\raw_paintings\149782.jpg,selected_final,fits_interior_window_theme,a painting of an indoor scene with strong window light,0.6388937830924988,a portrait painting with no relation to a window,0.15234887599945068,0.4865449070930481,,,,,,
149890,149890.jpg,D:\00\raw_paintings\149890.jpg,selected_final,fits_interior_window_theme,a painting of a person inside looking out through a window,0.3834584355354309,a portrait painting with no relation to a window,0.05174107477068901,0.3317173607647419,,,,,,
149894,149894.jpg,D:\00\raw_paintings\149894.jpg,removed_theme_mismatch,not_matching_theme_enough,a painting of a person inside looking out through a window,0.24634577333927155,a portrait painting with no relation to a window,0.31301450729370117,-0.06666873395442963,,,,,,
149923,149923.jpg,D:\00\raw_paintings\149923.jpg,removed_theme_mismatch,not_matching_theme_enough,a painting of a person inside looking out through a window,0.04836180806159973,a blurry low quality image,0.7004895210266113,-0.6521277129650116,,,,,,
15,15.jpg,D:\00\raw_paintings\15.jpg,selected_final,fits_interior_window_theme,a painting of an interior space with a visible window and outside view,0.4126363694667816,a painting of only outdoor scenery,0.35128703713417053,0.061349332332611084,,,,,,
150,150.jpg,D:\00\raw_paintings\150.jpg,selected_final,fits_interior_window_theme,a painting of a quiet room with a window,0.2997790277004242,a portrait painting with no relation to a window,0.07390826940536499,0.2258707582950592,,,,,,
150083,150083.jpg,D:\00\raw_paintings\150083.jpg,selected_final,fits_interior_window_theme,a painting of an indoor scene with strong window light,0.6155653595924377,a portrait painting with no relation to a window,0.20497028529644012,0.4105950742959976,,,,,,
150507,150507.jpg,D:\00\raw_paintings\150507.jpg,selected_final,fits_interior_window_theme,a painting of an indoor scene with strong window light,0.38106921315193176,a portrait painting with no relation to a window,0.19610339403152466,0.1849658191204071,,,,,,
150511,150511.jpg,D:\00\raw_paintings\150511.jpg,removed_theme_mismatch,not_matching_theme_enough,a painting of an interior space with a visible window and outside view,0.0004761894524563104,a blurry low quality image,0.2774074673652649,-0.2769312779128086,,,,,,
150840,150840.jpg,D:\00\raw_paintings\150840.jpg,removed_theme_mismatch,not_matching_theme_enough,a painting of an indoor scene with strong window light,0.05339394137263298,a painting without a window,0.7857968807220459,-0.7324029393494129,,,,,,
151,151.jpg,D:\00\raw_paintings\151.jpg,selected_final,fits_interior_window_theme,a painting of an indoor scene with strong window light,0.5559811592102051,a portrait painting with no relation to a window,0.03218568488955498,0.5237954743206501,,,,,,
151033,151033.jpg,D:\00\raw_paintings\151033.jpg,removed_theme_mismatch,not_matching_theme_enough,a painting of an interior space with a visible window and outside view,0.003111231606453657,a painting of only outdoor scenery,0.9546717405319214,-0.9515605089254677,,,,,,
151714,151714.jpg,D:\00\raw_paintings\151714.jpg,removed_theme_mismatch,not_matching_theme_enough,a painting of an interior room with a window,0.22221778333187103,a portrait painting with no relation to a window,0.25098100304603577,-0.028763219714164734,,,,,,
152,152.jpg,D:\00\raw_paintings\152.jpg,selected_final,fits_interior_window_theme,a painting of an indoor scene with strong window light,0.4459552466869354,a painting without a window,0.22673484683036804,0.21922039985656738,,,,,,
152550,152550.jpg,D:\00\raw_paintings\152550.jpg,removed_theme_mismatch,not_matching_theme_enough,a painting of an interior room with a window,0.00018208383698947728,a painting of only outdoor scenery,0.8872552514076233,-0.8870731675706338,,,,,,
153,153.jpg,D:\00\raw_paintings\153.jpg,removed_theme_mismatch,not_matching_theme_enough,a painting of an indoor scene with strong window light,0.02181178517639637,a portrait painting with no relation to a window,0.5900383591651917,-0.5682265739887953,,,,,,
153129,153129.jpg,D:\00\raw_paintings\153129.jpg,removed_theme_mismatch,not_matching_theme_enough,a painting of a person inside looking out through a window,0.035619355738162994,a portrait painting with no relation to a window,0.6095095872879028,-0.5738902315497398,,,,,,
153668,153668.jpg,D:\00\raw_paintings\153668.jpg,removed_theme_mismatch,not_matching_theme_enough,a painting of an interior space with a visible window and outside view,0.004522094968706369,a painting of only outdoor scenery,0.8153655529022217,-0.8108434579335153,,,,,,
153747,153747.jpg,D:\00\raw_paintings\153747.jpg,removed_theme_mismatch,not_matching_theme_enough,a painting of an interior room with a window,0.004719892051070929,an abstract painting,0.8678189516067505,-0.8630990595556796,,,,,,
154,154.jpg,D:\00\raw_paintings\154.jpg,removed_theme_mismatch,not_matching_theme_enough,a painting of a person inside looking out through a window,0.028783850371837616,a portrait painting with no relation to a window,0.9598639607429504,-0.9310801103711128,,,,,,
154075,154075.jpg,D:\00\raw_paintings\154075.jpg,removed_theme_mismatch,not_matching_theme_enough,a painting of an indoor scene with strong window light,0.002836017170920968,a blurry low quality image,0.8511513471603394,-0.8483153299894184,,,,,,
155,155.jpg,D:\00\raw_paintings\155.jpg,selected_final,fits_interior_window_theme,a painting of a person inside looking out through a window,0.7133180499076843,a portrait painting with no relation to a window,0.034408628940582275,0.678909420967102,,,,,,
